id,date,bookmaker,odds,unit,bet,result,profit,strategy_id,user_id,updated_at,event
54,2024-09-14 00:00:00+00,Solcasino,1.73,3,300,won,219,10,076c32cc-4392-4138-a443-e38ea06653d7,2024-10-25 10:00:00,gremio - botafogo 1
55,2024-10-25 07:59:26+00,Solcasino,1.97,3,300,lost,-300,10,076c32cc-4392-4138-a443-e38ea06653d7,2024-10-25 10:01:00,weiss - lask 2
56,2024-10-25 08:00:00+00,Solcasino,1.63,3,300,won,189,10,076c32cc-4392-4138-a443-e38ea06653d7,2024-10-25 10:02:00,cittadella catanzaro X2
57,2024-10-25 08:01:00+00,Solcasino,1.67,3,300,won,201,10,076c32cc-4392-4138-a443-e38ea06653d7,2024-10-25 10:03:00,cesena modena X2
58,2024-10-25 08:02:00+00,Solcasino,1.56,3,300,lost,-300,10,076c32cc-4392-4138-a443-e38ea06653d7,2024-10-25 10:04:00,Utsiktens BKvsDegerfors 1X
59,2024-10-25 08:03:26+00,Solcasino,1.64,3,300,won,192,10,076c32cc-4392-4138-a443-e38ea06653d7,2024-10-25 10:30:53,Legia w under 2.5
60,2024-10-25 08:04:26+00,Solcasino,1.72,3,300,won,216,10,076c32cc-4392-4138-a443-e38ea06653d7,2024-10-25 10:31:13,Korona kielce
61,2024-10-25 08:05:26+00,Bc game,1.6,3,300,won,180,10,076c32cc-4392-4138-a443-e38ea06653d7,2024-10-25 10:31:32,zvodke 1X
62,2024-10-25 08:06:26+00,Solcasino,1.72,3,300,won,216,10,076c32cc-4392-4138-a443-e38ea06653d7,2024-10-25 10:31:38,avai 1
63,2024-10-25 08:07:26+00,Bc game,1.64,3,300,won,192,10,076c32cc-4392-4138-a443-e38ea06653d7,2024-10-25 10:31:45,gremio 1
64,2024-10-25 08:08:26+00,Solcasino,1.66,3,300,won,198,10,076c32cc-4392-4138-a443-e38ea06653d7,2024-10-25 10:31:59,korea goal
65,2024-10-25 08:09:26+00,Solcasino,1.58,3,300,lost,-300,10,076c32cc-4392-4138-a443-e38ea06653d7,2024-10-25 10:32:05,stockport 1
66,2024-10-25 08:10:26+00,Solcasino,1.6,3,300,won,180,10,076c32cc-4392-4138-a443-e38ea06653d7,2024-10-25 10:36:15,bari X2
67,2024-10-25 08:11:26+00,Bc game,1.61,3,300,void,0,10,076c32cc-4392-4138-a443-e38ea06653d7,2024-10-25 10:36:21,fleetwood 1
68,2024-10-25 08:12:26+00,Solcasino,1.7,3,300,won,210,10,076c32cc-4392-4138-a443-e38ea06653d7,2024-10-25 10:36:29,fenerbache 1
69,2024-10-25 08:13:26+00,Owl,1.67,3,300,lost,-300,10,076c32cc-4392-4138-a443-e38ea06653d7,2024-10-25 10:36:36,Varbergs 1X
70,2024-10-25 08:14:26+00,Solcasino,1.64,3,300,won,192,10,076c32cc-4392-4138-a443-e38ea06653d7,2024-10-25 10:36:43,Ceara 1
71,2024-10-25 08:15:26.982846+00,Solcasino,1.65,3,300,lost,-300,10,076c32cc-4392-4138-a443-e38ea06653d7,2024-10-25 10:36:50,Santos 1
72,2024-10-25 08:16:26+00,Solcasino,2.07,3,300,won,321,10,076c32cc-4392-4138-a443-e38ea06653d7,2024-10-25 10:36:57,Kawasaki frontale
73,2024-10-25 08:17:26+00,Bc game,1.97,3,300,won,291,10,076c32cc-4392-4138-a443-e38ea06653d7,2024-10-25 10:37:03,sturm graz 2
74,2024-10-25 08:18:26+00,Bc game,1.63,3,300,won,189,10,076c32cc-4392-4138-a443-e38ea06653d7,2024-10-25 10:37:09,Copiapo goal
75,2024-10-25 08:19:26+00,Solcasino,1.75,3,300,lost,-300,10,076c32cc-4392-4138-a443-e38ea06653d7,2024-10-25 10:37:17,Goteborg gais goal
76,2024-10-25 08:20:26+00,Solcasino,1.59,3,300,won,177,10,076c32cc-4392-4138-a443-e38ea06653d7,2024-10-25 10:37:23,wycombe 1
77,2024-10-25 08:21:26+00,Solcasino,2.12,3,300,lost,-300,10,076c32cc-4392-4138-a443-e38ea06653d7,2024-10-25 10:37:30,machida
78,2024-10-25 08:22:26+00,Solcasino,1.54,3,300,lost,-300,10,076c32cc-4392-4138-a443-e38ea06653d7,2024-10-25 10:37:39,stal mielec X2
79,2024-10-25 08:23:26+00,Solcasino,1.68,3,300,won,204,10,076c32cc-4392-4138-a443-e38ea06653d7,2024-10-25 10:37:44,Hobro IK 1
80,2024-10-25 08:24:26+00,Solcasino,1.71,3,300,lost,-300,10,076c32cc-4392-4138-a443-e38ea06653d7,2024-10-25 10:38:25,Avai 1
81,2024-10-25 08:25:26+00,Solcasino,1.64,3,300,lost,-300,10,076c32cc-4392-4138-a443-e38ea06653d7,2024-10-25 10:38:30,IFK Norrkoping goal
82,2024-10-25 08:26:26+00,Solcasino,1.9,3,300,lost,-300,10,076c32cc-4392-4138-a443-e38ea06653d7,2024-10-25 10:38:37,"huachipato X2 (half sc, half owl)"
83,2024-10-25 08:27:26+00,Solcasino,1.8,3,300,won,240,10,076c32cc-4392-4138-a443-e38ea06653d7,2024-10-25 10:38:44,Granada 1
84,2024-10-25 08:28:26+00,Bc game,1.63,3,300,won,189,10,076c32cc-4392-4138-a443-e38ea06653d7,2024-10-25 10:38:56,santos 1
85,2024-10-25 08:29:26+00,Solcasino,1.85,3,300,won,255,10,076c32cc-4392-4138-a443-e38ea06653d7,2024-10-25 10:39:18,cordoba 1
86,2024-10-25 08:30:26+00,Bc game,1.73,3,300,won,219,10,076c32cc-4392-4138-a443-e38ea06653d7,2024-10-25 10:39:24,reading 1
87,2024-10-25 08:31:26+00,Bc game,1.89,3,300,won,267,10,076c32cc-4392-4138-a443-e38ea06653d7,2024-10-25 10:39:29,lask linz 2
88,2024-10-25 08:32:26+00,Bc game,1.65,3,300,lost,-300,10,076c32cc-4392-4138-a443-e38ea06653d7,2024-10-25 10:39:36,hammarby goal
89,2024-10-25 08:33:26+00,Bc game,1.68,3,300,lost,-300,10,076c32cc-4392-4138-a443-e38ea06653d7,2024-10-25 10:39:41,avai X2
90,2024-10-25 08:34:26+00,Betswap,1.77,3,300,won,231,10,076c32cc-4392-4138-a443-e38ea06653d7,2024-10-25 10:39:49,colo colo goal
91,2024-10-25 08:35:26+00,Betswap,1.65,3,300,lost,-300,10,076c32cc-4392-4138-a443-e38ea06653d7,2024-10-25 10:39:54,la calera goal
92,2024-10-25 08:36:26+00,Betswap,1.9,3,300,lost,-300,10,076c32cc-4392-4138-a443-e38ea06653d7,2024-10-25 10:40:01,cobresal x2
93,2024-10-25 08:37:26+00,Bc game,1.57,3,300,won,171,10,076c32cc-4392-4138-a443-e38ea06653d7,2024-10-25 10:40:06,"CRB +0,5"
94,2024-10-25 08:38:26+00,Bc game,1.56,3,300,won,168,10,076c32cc-4392-4138-a443-e38ea06653d7,2024-10-25 10:40:13,"sogndal +0,5H"
95,2024-10-25 08:39:26+00,Bc game,1.59,3,300,lost,-300,10,076c32cc-4392-4138-a443-e38ea06653d7,2024-10-25 10:40:20,doncaster 1
96,2024-10-25 08:40:26+00,Bc game,1.71,3,300,won,213,10,076c32cc-4392-4138-a443-e38ea06653d7,2024-10-25 10:40:27,"botafogo +0,5 ituano"
97,2024-10-25 08:41:26+00,Bc game,1.63,3,300,won,189,10,076c32cc-4392-4138-a443-e38ea06653d7,2024-10-25 10:40:34,walsall 1
98,2024-10-25 08:42:26+00,Bc game,1.96,3,300,won,288,10,076c32cc-4392-4138-a443-e38ea06653d7,2024-10-31 12:07:17.534,elche burgos X2
119,2024-10-22 11:00:00+00,Bc game,1.62,1,50,won,31,14,4ecbf21b-def2-4010-aa43-825cac5dde2b,2024-10-30 20:17:20.157,Estoril U23
120,2024-10-18 01:00:00+00,Bc game,1.83,1,50,won,41.5,14,4ecbf21b-def2-4010-aa43-825cac5dde2b,2024-10-30 20:16:48.028,colorado
121,2024-10-24 18:45:00+00,Bc game,2.3,1,50,won,65,14,4ecbf21b-def2-4010-aa43-825cac5dde2b,2024-10-30 20:22:32.653,aik goteborg 02.5
122,2024-10-23 01:00:00+00,Bc game,1.82,1,50,won,41,14,4ecbf21b-def2-4010-aa43-825cac5dde2b,2024-10-30 20:19:50.001,indiana -4.5
123,2024-10-24 16:45:00+00,Bc game,1.61,1,50,won,30.5,14,4ecbf21b-def2-4010-aa43-825cac5dde2b,2024-10-30 20:22:55.006,fiorentina
124,2024-10-24 01:00:00+00,Bc game,1.63,1,50,lost,-50,14,4ecbf21b-def2-4010-aa43-825cac5dde2b,2024-10-30 20:20:33.329,tampa bay
125,2024-10-25 08:30:00+00,Bc game,2.9,1,50,lost,-50,14,4ecbf21b-def2-4010-aa43-825cac5dde2b,2024-10-30 20:24:50.554,padang
126,2024-10-25 13:00:00+00,Bc game,2.6,1,50,lost,-50,14,4ecbf21b-def2-4010-aa43-825cac5dde2b,2024-10-30 20:24:55.994,selimbar
127,2024-10-25 16:00:00+00,Bc game,4.5,1,50,won,175,14,4ecbf21b-def2-4010-aa43-825cac5dde2b,2024-10-30 20:25:17.874,Piast Gliwice
128,2024-10-25 18:45:00+00,Bc game,3,1,50,lost,-50,14,4ecbf21b-def2-4010-aa43-825cac5dde2b,2024-10-30 20:25:48.755,como torino
129,2024-10-25 02:30:00+00,Bc game,1.56,1,50,won,28,14,4ecbf21b-def2-4010-aa43-825cac5dde2b,2024-10-30 20:24:03.528,nashville
130,2024-10-25 01:00:00+00,Bc game,1.75,1,50,lost,-50,14,4ecbf21b-def2-4010-aa43-825cac5dde2b,2024-10-30 20:23:10.262,new jersey
131,2024-10-25 16:00:00+00,Bc game,2.29,1,50,won,64.5,14,4ecbf21b-def2-4010-aa43-825cac5dde2b,2024-10-30 20:25:32.907,estoril over
132,2024-10-26 14:00:00+00,Bc game,1.75,1,50,won,37.5,14,4ecbf21b-def2-4010-aa43-825cac5dde2b,2024-10-30 20:25:57.356,Yekaterinburg
133,2024-10-26 14:00:00+00,Bc game,3.15,1,50,lost,-50,14,4ecbf21b-def2-4010-aa43-825cac5dde2b,2024-10-30 20:26:10.636,Millwall
134,2024-10-22 14:00:00+00,Bc game,3.15,1,50,won,107.5,14,4ecbf21b-def2-4010-aa43-825cac5dde2b,2024-10-30 20:18:51.238,Levadiakos
135,2024-10-22 14:00:00+00,Bc game,1.81,1,50,won,40.5,14,4ecbf21b-def2-4010-aa43-825cac5dde2b,2024-10-30 20:19:42.175,aberdeen
136,2024-10-23 13:00:00+00,Bc game,3.1,1,50,lost,-50,14,4ecbf21b-def2-4010-aa43-825cac5dde2b,2024-10-30 20:20:04.784,cittadella X
137,2024-10-23 13:00:00+00,Bc game,3.05,1,50,lost,-50,14,4ecbf21b-def2-4010-aa43-825cac5dde2b,2024-10-30 20:20:17.728,novi pazar
138,2024-10-23 13:00:00+00,Bc game,1.81,4,200,won,162,14,4ecbf21b-def2-4010-aa43-825cac5dde2b,2024-10-30 20:20:25.369,Waalwijk
139,2024-10-23 01:00:00+00,Bc game,1.65,1,50,won,32.5,14,4ecbf21b-def2-4010-aa43-825cac5dde2b,2024-10-30 20:19:58.288,los angeles kings
140,2024-10-24 01:00:00+00,Bc game,1.93,1,50,won,46.5,14,4ecbf21b-def2-4010-aa43-825cac5dde2b,2024-10-30 20:22:21.228,tampa bay
141,2024-10-25 02:30:00+00,Bc game,1.86,1,50,won,43,14,4ecbf21b-def2-4010-aa43-825cac5dde2b,2024-10-30 20:24:11.792,Oklahoma City
142,2024-10-25 01:00:00+00,Bc game,1.77,1,50,lost,-50,14,4ecbf21b-def2-4010-aa43-825cac5dde2b,2024-10-30 20:23:24.559,nashville
143,2024-10-25 02:30:00+00,Bc game,1.84,1,50,lost,-50,14,4ecbf21b-def2-4010-aa43-825cac5dde2b,2024-10-30 20:24:21.185,toronto
144,2024-10-25 01:00:00+00,Bc game,1.72,1,50,won,36,14,4ecbf21b-def2-4010-aa43-825cac5dde2b,2024-10-30 20:23:40.999,winnipeg
145,2024-10-25 01:00:00+00,Bc game,1.8,1,50,won,40,14,4ecbf21b-def2-4010-aa43-825cac5dde2b,2024-10-30 20:23:52.631,vancouver
147,2024-10-26 14:00:00+00,Bc game,1.74,1,50,won,37,14,4ecbf21b-def2-4010-aa43-825cac5dde2b,2024-10-30 20:26:36.635,bars kazan
148,2024-10-27 15:00:00+00,Bc game,1.77,1,50,won,38.5,14,4ecbf21b-def2-4010-aa43-825cac5dde2b,2024-10-30 20:27:16.542,yaroslav
149,2024-10-27 19:45:00+00,Bc game,1.78,1,50,won,39,14,4ecbf21b-def2-4010-aa43-825cac5dde2b,2024-10-30 20:28:57.85,valencia
150,2024-10-27 19:45:00+00,Bc game,1.72,1,50,won,36,14,4ecbf21b-def2-4010-aa43-825cac5dde2b,2024-10-30 20:29:05.426,toulouse
151,2024-10-27 19:45:00+00,Bc game,3,1,50,won,100,14,4ecbf21b-def2-4010-aa43-825cac5dde2b,2024-10-30 20:29:15.61,pisa frosinone
152,2024-10-28 15:00:00+00,Bc game,4.4,1,50,lost,-50,14,4ecbf21b-def2-4010-aa43-825cac5dde2b,2024-10-30 20:29:28.587,plzen
153,2024-10-28 15:00:00+00,Bc game,4.1,1,50,won,155,14,4ecbf21b-def2-4010-aa43-825cac5dde2b,2024-10-30 20:29:34.307,Mlada Boleslav
154,2024-10-28 15:00:00+00,Bc game,1.78,2,100,won,78,14,4ecbf21b-def2-4010-aa43-825cac5dde2b,2024-10-30 20:29:48.26,ham-kam
155,2024-10-28 15:00:00+00,Bc game,3.3,1,50,lost,-50,14,4ecbf21b-def2-4010-aa43-825cac5dde2b,2024-10-30 20:30:00.476,atromitos
156,2024-10-28 15:00:00+00,Bc game,3.9,1,50,lost,-50,14,4ecbf21b-def2-4010-aa43-825cac5dde2b,2024-10-30 20:30:05.211,psg
157,2024-10-28 15:00:00+00,Bc game,3.65,1,50,lost,-50,14,4ecbf21b-def2-4010-aa43-825cac5dde2b,2024-10-30 20:30:11.605,napredak
